user,hashtag,tweet_id,date
eunyangnbc,pyeongchang2018,963388105171415040,Tue Feb 13 12:23:17 +0000 2018
MatthewLumby,Olympics,963387915823759361,Tue Feb 13 12:22:32 +0000 2018
MatthewLumby,Lumbylympics,963387915823759361,Tue Feb 13 12:22:32 +0000 2018
SportcomQuebec,bronze,963387712911720449,Tue Feb 13 12:21:44 +0000 2018
SportcomQuebec,Pyeongchang2018,963387712911720449,Tue Feb 13 12:21:44 +0000 2018
eveliendebruijn,OS2018,963387242516393985,Tue Feb 13 12:19:52 +0000 2018
debiedwarditv,pyeongchangOlympics2018,963387187130716160,Tue Feb 13 12:19:38 +0000 2018
worldcurling,curling,963387164582060033,Tue Feb 13 12:19:33 +0000 2018
worldcurling,pyeongchang2018,963387164582060033,Tue Feb 13 12:19:33 +0000 2018
worldcurling,olympics,963387164582060033,Tue Feb 13 12:19:33 +0000 2018
prlawless1,BeOlympic,963387123494604800,Tue Feb 13 12:19:23 +0000 2018
Equipe_Canada,curling,963387081203396609,Tue Feb 13 12:19:13 +0000 2018
ReidFiest,Olympics,963387029621915648,Tue Feb 13 12:19:01 +0000 2018
ReidFiest,pyeongchang2018,963387029621915648,Tue Feb 13 12:19:01 +0000 2018
edwin_peek,Kerkhof,963387015948627968,Tue Feb 13 12:18:58 +0000 2018
edwin_peek,shorttrack,963387015948627968,Tue Feb 13 12:18:58 +0000 2018
edwin_peek,PyeongChang2018,963387015948627968,Tue Feb 13 12:18:58 +0000 2018
edwin_peek,teamNL,963387015948627968,Tue Feb 13 12:18:58 +0000 2018
phyliciageorge,Pyeonchang2018,963386810767323136,Tue Feb 13 12:18:09 +0000 2018
AaronNolanNews,Gold,963386707482591232,Tue Feb 13 12:17:44 +0000 2018
JClipperton_CP,pyeongchang2018,963386633914470400,Tue Feb 13 12:17:27 +0000 2018
KSLAndrew,PyeongChang2018,963386244691619841,Tue Feb 13 12:15:54 +0000 2018
philippevw,teambelgium,963386128748363776,Tue Feb 13 12:15:26 +0000 2018
debiedwarditv,TeamGB,963386063485067264,Tue Feb 13 12:15:11 +0000 2018
ykiho0612,자트,963385833771319296,Tue Feb 13 12:14:16 +0000 2018
usskiteam,olympics,963385492464177152,Tue Feb 13 12:12:54 +0000 2018
catgau,Morrison,963385292408279041,Tue Feb 13 12:12:07 +0000 2018
vivionr,JO,963384179726671873,Tue Feb 13 12:07:41 +0000 2018
vivionr,pyeongchang2018,963384179726671873,Tue Feb 13 12:07:41 +0000 2018
Dos_0731,2017년_자신이_선택할_올해의_4장,963383870799294464,Tue Feb 13 12:06:28 +0000 2018
giempi68,RSIOlimpiadi,963383384452943874,Tue Feb 13 12:04:32 +0000 2018
giempi68,RSISport,963383384452943874,Tue Feb 13 12:04:32 +0000 2018
