user,mention,tweet_id,date
mkp0220,redparco,963419156283514881,Tue Feb 13 14:26:40 +0000 2018
TSNScianitti,TSN_Sports,963418970949931009,Tue Feb 13 14:25:56 +0000 2018
catyeons,hightaec,963418944869560320,Tue Feb 13 14:25:50 +0000 2018
catyeons,taeccool,963418944869560320,Tue Feb 13 14:25:50 +0000 2018
BraveRebelxx,doIanstrilogy,963418889328775176,Tue Feb 13 14:25:37 +0000 2018
skalC9020,redparco,963418678761959424,Tue Feb 13 14:24:47 +0000 2018
kynam25k,hjpaak,963418666409738240,Tue Feb 13 14:24:44 +0000 2018
sp_iris,sofia_ralli,963418630389227520,Tue Feb 13 14:24:35 +0000 2018
ExGDym0o6in1iVy,bestlovedol_bts,963418497551253504,Tue Feb 13 14:24:03 +0000 2018
ExGDym0o6in1iVy,BTS_twt,963418497551253504,Tue Feb 13 14:24:03 +0000 2018
ExGDym0o6in1iVy,BTS_twt,963418497551253504,Tue Feb 13 14:24:03 +0000 2018
ExGDym0o6in1iVy,BTS,963418497551253504,Tue Feb 13 14:24:03 +0000 2018
ExGDym0o6in1iVy,bangtan,963418497551253504,Tue Feb 13 14:24:03 +0000 2018
richmondcontrol,RobSnoekLIVE,963418475237597184,Tue Feb 13 14:23:58 +0000 2018
0G1GWeZJ8CpgN7c,hjpaak,963418385928241152,Tue Feb 13 14:23:37 +0000 2018
jterdimanUSA,kevinjairaj,963418175634210816,Tue Feb 13 14:22:47 +0000 2018
greatsue,redparco,963418072664043521,Tue Feb 13 14:22:22 +0000 2018
WqOLMaxliuZRh5i,Army49333395,963418025889210368,Tue Feb 13 14:22:11 +0000 2018
WqOLMaxliuZRh5i,BTS_KR_VOTE,963418025889210368,Tue Feb 13 14:22:11 +0000 2018
WqOLMaxliuZRh5i,BTS_twt,963418025889210368,Tue Feb 13 14:22:11 +0000 2018
WqOLMaxliuZRh5i,BTS_twt,963418025889210368,Tue Feb 13 14:22:11 +0000 2018
WqOLMaxliuZRh5i,BTS,963418025889210368,Tue Feb 13 14:22:11 +0000 2018
WqOLMaxliuZRh5i,bangtan,963418025889210368,Tue Feb 13 14:22:11 +0000 2018
ampimmie,hightaec,963418010718318592,Tue Feb 13 14:22:07 +0000 2018
creed773,redparco,963417895744122880,Tue Feb 13 14:21:40 +0000 2018
1004liz,hjpaak,963417891939889152,Tue Feb 13 14:21:39 +0000 2018
1004liz,TheBlueHouseKR,963417891939889152,Tue Feb 13 14:21:39 +0000 2018
togchoi,cj9854,963417865620619264,Tue Feb 13 14:21:33 +0000 2018
scoutmasterfifi,chloekimsnow,963417854312878082,Tue Feb 13 14:21:30 +0000 2018
jkeehm,redparco,963417750474440704,Tue Feb 13 14:21:05 +0000 2018
siddie_style,hightaec,963417496895283200,Tue Feb 13 14:20:05 +0000 2018
shining_svt02,RADIANT_WW_0717,963417456977965057,Tue Feb 13 14:19:55 +0000 2018
chokosong22,redparco,963417411096477697,Tue Feb 13 14:19:44 +0000 2018
IkhaYun,hightaec,963417397733437440,Tue Feb 13 14:19:41 +0000 2018
slondeepain,redparco,963417302879342592,Tue Feb 13 14:19:19 +0000 2018
shining_svt02,RADIANT_WW_0717,963417205151952897,Tue Feb 13 14:18:55 +0000 2018
EilidhBarbour,delboy200963,963417175909220352,Tue Feb 13 14:18:48 +0000 2018
EilidhBarbour,philsainsbury71,963417175909220352,Tue Feb 13 14:18:48 +0000 2018
Writer_Park,woo2day6715,963417026600448000,Tue Feb 13 14:18:13 +0000 2018
6_66_6666_,redparco,963417001589858306,Tue Feb 13 14:18:07 +0000 2018
alley_in_forest,redparco,963416982790877185,Tue Feb 13 14:18:02 +0000 2018
catarinaabb4,Sys7176,963416978479198208,Tue Feb 13 14:18:01 +0000 2018
shining_svt02,RADIANT_WW_0717,963416914948009985,Tue Feb 13 14:17:46 +0000 2018
Y_tomytomy,redparco,963416847969218560,Tue Feb 13 14:17:30 +0000 2018
LETAsports,LETAsportsEXTRA,963416817682321408,Tue Feb 13 14:17:23 +0000 2018
yeyoung0219,ppptec,963416762753548288,Tue Feb 13 14:17:10 +0000 2018
HW_ETCM,longpig_recipe,963416671569428481,Tue Feb 13 14:16:48 +0000 2018
HW_ETCM,cyp_bot_list,963416671569428481,Tue Feb 13 14:16:48 +0000 2018
shining_svt02,RADIANT_WW_0717,963416653793918977,Tue Feb 13 14:16:44 +0000 2018
DavidBaden,Katarina_Witt,963416516367659008,Tue Feb 13 14:16:11 +0000 2018
jayjayboske,IgmarFelicia,963416511741288448,Tue Feb 13 14:16:10 +0000 2018
NPRmelissablock,wcveworldmusic,963416492346757121,Tue Feb 13 14:16:05 +0000 2018
JoshSheltonLive,CoryChristense4,963416375350804480,Tue Feb 13 14:15:37 +0000 2018
qkdnbaek4,suebfhe,963416284237987840,Tue Feb 13 14:15:16 +0000 2018
qkdnbaek4,weareoneEXO,963416284237987840,Tue Feb 13 14:15:16 +0000 2018
woo2day6715,cucucing,963416263895662592,Tue Feb 13 14:15:11 +0000 2018
super_norge,tesfayesjournal,963416253691023360,Tue Feb 13 14:15:08 +0000 2018
Manong_Eirene,redparco,963416219775729666,Tue Feb 13 14:15:00 +0000 2018
sjinkieknegt,yaravkerkhof,963416193511120898,Tue Feb 13 14:14:54 +0000 2018
rkdqla312,woo2day6715,963416139282898945,Tue Feb 13 14:14:41 +0000 2018
emotionalboy83,redparco,963416137621913600,Tue Feb 13 14:14:41 +0000 2018
woo2day6715,Writer_Park,963416104130396161,Tue Feb 13 14:14:33 +0000 2018
Writer_Park,woo2day6715,963416103778004992,Tue Feb 13 14:14:33 +0000 2018
freekim99,ppptec,963416057389113344,Tue Feb 13 14:14:22 +0000 2018
robbertderijk,tweetymv70,963416044759957504,Tue Feb 13 14:14:19 +0000 2018
yeyoung0219,ppptec,963415975117832192,Tue Feb 13 14:14:02 +0000 2018
idawonhae,SUNGJINOPPA,963415958420205568,Tue Feb 13 14:13:58 +0000 2018
nanabok,cj9854,963415885900693507,Tue Feb 13 14:13:41 +0000 2018
MatthewLumby,Danny_McMoomins,963415855169024000,Tue Feb 13 14:13:33 +0000 2018
_TheUnjust,longpig_recipe,963415778635653120,Tue Feb 13 14:13:15 +0000 2018
_TheUnjust,cyp_bot_list,963415778635653120,Tue Feb 13 14:13:15 +0000 2018
PIB8gcL7vKEhuZM,Army49333395,963415518081200128,Tue Feb 13 14:12:13 +0000 2018
PIB8gcL7vKEhuZM,BTSencourage,963415518081200128,Tue Feb 13 14:12:13 +0000 2018
PIB8gcL7vKEhuZM,BTS_twt,963415518081200128,Tue Feb 13 14:12:13 +0000 2018
PIB8gcL7vKEhuZM,BTS_twt,963415518081200128,Tue Feb 13 14:12:13 +0000 2018
PIB8gcL7vKEhuZM,BTS,963415518081200128,Tue Feb 13 14:12:13 +0000 2018
PIB8gcL7vKEhuZM,bangtan,963415518081200128,Tue Feb 13 14:12:13 +0000 2018
